last number 12

1Metodo: PSO with random initial point; steps: 10; gt_f= 1; N_c= 1; detunning = 1.0g; x= 1.0g; k= 1.0g, J=1.0g
2Metodo: PSO with random initial point; steps: 10; gt_f= 1; N_c= 1; detunning = 1.0g; x= 1.0g; k= 1.0g, J=1.0g
3Metodo: PSO with random initial point; steps: 10; gt_f= 1; N_c= 1; detunning = 1.0g; x= 1.0g; k= 1.0g, J=1.0g
4Metodo: PSO with random initial point; steps: 10; gt_f= 1; N_c= 1; detunning = 1.0g; x= 1.0g; k= 1.0g, J=1.0g
5Metodo: PSO with random initial point; steps: 10; gt_f= 1; N_c= 1; detunning = 1.0g; x= 1.0g; k= 1.0g, J=1.0g
6: Metodo: PSO with random caca; steps: 10; gt_f= 1; N_c= 1; detunning = 1.0g; x= 1.0g; k= 1.0g, J=1.0g
7: Metodo: PSO random initial point; steps: 4000; gt_f= 5; N_c= 3; detunning = 0.001g; x= 0.0g; k= 0.0g, J=0.0g
8: Metodo: CG seed; steps: 4000; gt_f= 5; N_c= 3; detunning = 0.001g; x= 0.0g; k= 0.0g, J=0.0g
9: Metodo: PSO rand 5t 4000st 10maxi 10pop; steps: 4000; gt_f= 5; N_c= 3; detunning = 0.001g; x= 0.0g; k= 0.0g, J=0.0g
10: Metodo: CG Hager 5t 4000st; steps: 4000; gt_f= 5; N_c= 3; detunning = 0.001g; x= 0.0g; k= 0.0g, J=0.0g
11: Metodo: PSO 5t 4000st 5maxi 20pop; steps: 4000; gt_f= 5; N_c= 3; detunning = 0.001g; x= 0.0g; k= 0.0g, J=0.0g
12: Metodo: PSO 30t 6000st 5maxi 24pop; steps: 6000; gt_f= 30; N_c= 3; detunning = 0.001g; x= 0.0g; k= 0.0g, J=0.0g
